Zona,MAPE_Base,MAPE_Optimizado,MAPE(%)_Base,MAPE(%)_Optimizado,MAE_Base,MAE_Optimizado,RMSE_Base,RMSE_Optimizado,R2_Base,R2_Optimizado
001_ZW Parque Ingenio.csv,0.689,0.448,68.913,44.757,1531994.948,1243172.341,2068644.114,1840418.786,0.193,0.361
002_ZW Canchas Panamericanas.csv,0.242,0.228,24.153,22.811,542490.306,507926.529,777616.281,730395.327,0.662,0.702
003_ZW Parque del Perro.csv,0.298,0.369,29.829,36.876,718244.136,751228.697,1146545.853,1063048.146,0.6,0.656
004_ZW Parque San Nicolas.csv,0.261,0.251,26.14,25.073,2388792.366,2331723.611,3011982.312,2935802.013,0.408,0.437
005_ZW Parque Barrio Obrero.csv,0.342,0.158,34.205,15.828,4101333.5,2563390.896,4920202.891,3427456.744,0.552,0.783
007_ZW Parque Pizamos.csv,0.23,0.132,22.965,13.176,766037.951,543626.234,1033213.809,838177.796,0.795,0.865
008_ZW Parque Alfonso Lopez.csv,71.52,0.455,7151.977,45.464,378097794.255,3146663.59,722873133.926,3874259.561,-25203.475,0.276
010_ZW Parque Antonio Nariño.csv,0.169,0.155,16.892,15.497,688417.621,656281.89,942329.776,952186.414,0.785,0.78
011_ZW Parque Santa Rosa Poblado.csv,2.116,1.889,211.57,188.889,1566179.317,2445281.922,2440349.445,3609120.675,0.165,-0.826
012_ZW Polideportivo Los Naranjos.csv,0.944,1.154,94.449,115.393,1256089.941,1135121.516,2035737.074,1855412.144,0.568,0.641
013_ZW Parque Llano Verde.csv,0.232,0.232,23.201,23.243,752142.712,766996.038,958212.916,955478.918,0.376,0.38
015_ZW Centro Cultural Comuna 13.csv,0.429,0.295,42.947,29.491,1448877.645,1244744.698,2136035.865,1896889.89,0.839,0.873
016_ZW Conjunto Habitacional Ramali.csv,0.322,0.288,32.192,28.843,3681437.792,3349391.793,5184525.195,4786282.002,0.685,0.731
019_ZW Parque Skate Board.csv,0.654,0.347,65.386,34.699,5764299.126,3308031.746,6544850.399,4213214.907,-2.168,-0.313
021_ZW Parque Alfonso Barberena.csv,0.152,0.17,15.231,17.045,1036918.36,1123134.78,1370368.863,1507481.13,0.765,0.716
022_ZW Polideportivo Los Farallones.csv,15.579,16.183,1557.91,1618.345,1278837.969,1393062.679,2198522.714,2081319.836,0.234,0.314
023_ZW Parque Los Guerreros.csv,1.822,0.344,182.227,34.435,2746810.309,883420.436,3379895.617,1136095.44,-1.533,0.714
024_ZW Museo La Tertulia.csv,64.891,3.273,6489.093,327.292,15713720.537,1016158.231,25039985.582,1262458.512,-624.033,-0.589
025_ZW Parque San Marino.csv,0.733,0.766,73.27,76.649,4126266.463,4380323.07,7121983.955,7266141.102,0.051,0.012
026_ZW Parque La Flora.csv,0.243,0.236,24.251,23.643,1373327.769,1345529.834,2063465.667,2017416.529,0.467,0.49
027_ZW Parque Alfonso Bonilla Aragón.csv,0.278,0.229,27.757,22.856,696641.191,616198.789,932734.068,880611.144,0.857,0.872
028_ZW Parque Yo Amo a Siloé.csv,0.141,0.202,14.13,20.219,3022566.262,4357406.557,3815992.936,5195518.126,0.469,0.016
029_ZW Centro Cultural Vista Hermosa.csv,4740.008,642.288,474000.756,64228.832,2316180.342,3018445.905,3215101.966,3768847.485,-0.43,-0.965
030_ZW Parque Mutis.csv,0.216,0.248,21.614,24.795,1431516.535,1600531.239,1935899.655,2064308.579,0.738,0.702
031_ZW Cancha Los Azules.csv,0.264,0.216,26.389,21.593,2811013.768,2451681.029,3640702.316,3276796.456,0.597,0.674
032_ZW Parque La Orqueta.csv,1.103,0.329,110.317,32.931,5038576.655,4014312.313,6669117.2,4893058.398,-0.376,0.259
034_ZW Parque Villa Colombia.csv,0.384,0.448,38.422,44.76,1306250.476,1341898.238,1760107.59,1797174.172,0.266,0.235
035_ZW Parque Colseguros.csv,0.151,0.208,15.093,20.757,1085866.937,1444833.541,1455940.064,1834558.345,0.644,0.436
036_ZW Parque India Elena.csv,0.213,0.275,21.261,27.466,1760946.731,2198132.791,2177051.438,2578701.929,0.658,0.521
037_ZW Parque Tequendama.csv,0.31,0.394,30.969,39.364,2292117.37,2839477.893,2759253.28,3372099.477,0.242,-0.132
038_ZW Parque Sector Amarillo Skate Park.csv,0.441,0.48,44.06,47.988,1316875.335,1389035.452,1955609.693,1878955.359,0.422,0.466
039_ZW Biblioteca Daniel Guillard.csv,0.186,0.167,18.577,16.657,1499729.535,1437985.188,2013737.106,2142636.916,0.739,0.705
040_ZW Polideportivo Torres Comfandi.csv,0.553,0.541,55.292,54.116,3512740.982,3190471.548,4696503.999,4422269.126,-0.569,-0.391
041_ZW Parque Junin.csv,0.591,0.151,59.053,15.063,3583718.934,1377859.842,4273435.846,1881797.91,-0.417,0.725
042_ZW Parque Mariano Ramos.csv,0.189,0.199,18.899,19.944,1039440.306,1097740.318,1342296.504,1342475.125,0.576,0.575
043_ZW Polideportivo Ricardo Balcazar.csv,0.138,0.137,13.769,13.75,1199769.21,1198593.585,1614207.675,1613572.942,0.711,0.711
044_ZW Polideportivo San Benito.csv,0.316,0.349,31.636,34.943,2581447.794,2954826.9,3882972.263,4545010.261,0.666,0.543
045_ZW Parque Santa Anita.csv,0.393,0.476,39.308,47.581,1078159.35,1626191.498,1397809.664,2081676.207,0.133,-0.923
046_ZW Sebastian Belalcazar.csv,0.801,0.884,80.079,88.398,1420221.12,1736308.78,1950486.458,2242390.425,-0.566,-1.07
047_ZW Parque del Mico.csv,0.268,0.28,26.846,28.03,1159911.804,1208854.13,1400136.015,1476225.671,0.7,0.667
048_ZW Parque Cien Palos.csv,0.111,0.135,11.105,13.526,982100.894,1091463.144,1333875.207,1339068.198,0.759,0.757
049_ZW Cerro 3 Cruces.csv,0.243,0.618,24.316,61.835,917970.886,666954.315,1274417.95,997735.898,0.854,0.911
050_ZW Parque Calima.csv,0.269,0.287,26.931,28.718,1041360.864,1017674.153,1436256.995,1412499.154,0.78,0.787
051_ZW Parque La Merced.csv,1439252.457,12.104,143925245.655,1210.423,95986215446.399,1357700.616,298866325001.222,1977773.506,-51371703758.859,-1.25
052_ZW Puente de Colores.csv,0.482,0.484,48.216,48.424,1532629.434,1418710.2,2293390.12,2080467.607,0.207,0.348
053_ZW Polideportivo Laureano Gomez.csv,0.196,0.269,19.615,26.851,887687.823,1499464.197,1241367.778,2190532.998,0.884,0.638
054_ZW El Diamante.csv,0.776,1.387,77.583,138.668,734054.073,946639.818,1109767.093,1349719.373,0.532,0.308
055_ZW Polideportivo Petecuy.csv,0.21,0.239,21.04,23.857,946922.755,918334.516,1482445.707,1445415.877,0.536,0.559
056_ZW Comuna 16.csv,0.806,0.625,80.626,62.539,145190.444,147037.036,248574.418,259631.675,0.802,0.784
057_La Castilla.csv,817.789,332.47,81778.92,33247.022,5388351.151,4953895.769,7156887.205,7142791.757,-26.91,-26.8
058_La Elvira.csv,4.575,6.678,457.495,667.831,2072735.976,1937602.246,3042651.368,2776539.221,0.599,0.666
059_El Saladito.csv,2.03,1.013,203.024,101.325,1998148.645,1572860.072,2396038.883,1975201.654,-0.122,0.238
